Text Availability,Type of article,S No.,Owner,Title,Author,Author,Author,Author,Author,Author,Author,Author,Author,Author,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Journal Title,Source,Article Identifier,Other ID,Vol. No,Issue,Pagination,Date Of Publication,Location Identifier,Abstract,Grant Number,Grant Number
,,1,ERIC,MusiMath' and 'Academic Music' -- Two Music-Based Intervention Programs for Fractions Learning in Fourth Grade Students,"Azaryahu, Libby","Courey, Susan Joan","Elkoshi, Rivka","Adi-Japha, Esther",,,,,,,Music Education,Mathematics Instruction,Mathematics Achievement,Holistic Approach,Acoustics,Fractions,Grade 4,Abstract Reasoning,Transfer of Training,Intervention,Elementary School Students,Musical Composition,Video Technology,Comparative Analysis,Teaching Methods,Achievement Gains,Outcomes of Education,,,,,,,,,,Developmental Science,v23 n4 e12882 Jul 2020,http://dx.doi.org/10.1111/desc.12882,EJ1257557,23,4,,e12882 Jul 2020,http://eric.ed.gov/?id=EJ1257557,"Music and mathematics require abstract thinking and using symbolic notations. Controversy exists regarding transfer from musical training to math achievements. The current study examined the effect of two integrated intervention programs representing holistic versus acoustic approaches, on fraction knowledge. Three classes of fourth graders attended 12 lessons on fractions: One class attended the 'MusiMath' holistic program (n = 30) focusing on rhythm within the melody. Another class attended the 'Academic Music' acoustic program (Courey et al., Educ Stud Math 81:251, 2012) (n = 25) which uses rhythm only. The third class received regular fraction lessons (comparison group, n = 22). Students in both music programs learned to write musical notes and perform rhythmic patterns through clapping and drumming as part of their fraction lessons. They worked toward adding musical notes to produce a number (fraction), and created addition/subtraction problems with musical notes. The music programs used a 4/4 time signature with whole, half, quarter and eighth notes. In the math lessons, the students learned the analogy between musical durations and 1/2, 1/4, 1/8 fractions, but also practiced fractions other than 1/2, 1/4, 1/8. Music and math were assessed before, immediately following, and 3- and 6-months post-intervention. Pre- to post-intervention analyses indicated that only the 'MusiMath' group showed greater transfer to intervention-trained and untrained fractions than the comparison group. The 'Academic Music' group showed a trend on trained fractions. Although both music groups outperformed the comparison group 3- and 6-months post-intervention on trained fractions, only the 'MusiMath' group demonstrated greater gains in untrained fractions. Gains were more evident in trained than in untrained fractions. A video abstract of this article can be viewed at https://youtu.be/uJ_KWWDO624",,
,,2,ERIC,The Number Race -- Computer-Assisted Intervention for Mathematically Low-Performing First Graders,"Hellstrand, Heidi","Korhonen, Johan","Linnanmäki, Karin","Aunio, Pirjo",,,,,,,Grade 1,Elementary School Students,Computer Assisted Instruction,Educational Technology,Intervention,Low Achievement,Mathematics Instruction,Program Effectiveness,Mathematics Skills,Computation,Arithmetic,Learning Problems,Foreign Countries,,,,,,,,,,,,,,European Journal of Special Needs Education,v35 n1 p85-99 2020,http://dx.doi.org/10.1080/13488678.2019.1615792,EJ1241596,35,1,85-99,2020,http://eric.ed.gov/?id=EJ1241596,"This manuscript presents a study in which the new version of the computer-based training programme, The Number Race (NR), was used as an intervention for mathematically low-performing children in grade one (M[subscript age] = 86.46, SD = 3.89). In addition to ordinary teacher instruction in mathematics, the intervention group (n = 29) received NR training for 15-minute sessions, 3-4 days per week, during a four-week period. One comparison group comprising mathematically low-performing children (n = 27) and another comprising average-performing children (n = 278) received only ordinary teacher instruction in mathematics during this period. The children's mathematical skills (e.g. counting and basic arithmetic skills) were measured three times during grade one, using three parallel tests. The grouping was based on the first assessment, using the lowest 20th percentile as the cut-off point in the test. The NR intervention took place between the second and third assessments. There was no statistically significant NR intervention effect found in this study.",,
,,3,ERIC,Evaluating the Impact of a Spatial Reasoning Mathematics Program (SRMP) Intervention in the Primary School,"Mulligan, Joanne","Woolcott, Geoff","Mitchelmore, Michael","Busatto, Susan","Lai, Jennifer","Davis, Brent",,,,,Program Evaluation,Spatial Ability,Mathematics Instruction,Mathematical Logic,Elementary School Students,Intervention,Grade 3,Grade 4,Pattern Recognition,Mathematics Achievement,,,,,,,,,,,,,,,,,Mathematics Education Research Journal,v32 n2 p285-305 Jun 2020,http://dx.doi.org/10.1007/s13394-020-00324-z,EJ1258255,32,2,285-305,43983,http://eric.ed.gov/?id=EJ1258255,"As part of the ""Connecting Mathematics Learning through Spatial Reasoning"" project, a Spatial Reasoning Mathematics Program (SRMP) intervention was implemented with one cohort of 30 students in grades 3 through 4. The SRMP embedded transformation skills in learning sequences comprising repeating and growing patterns, 2D and 3D relationships, structuring area and perimeter, directionality and perspective-taking. Analysis indicated a significantly better gain by the experimental group on the PASA-2 measure of awareness of pattern and structure and on the PASA-Sp assessment of spatial ability at the post-SRMP period. However, there were no significant differences found between groups on the PATMaths4 test of mathematics achievement. Qualitative analyses indicated that students demonstrated the development of complex spatial concepts well beyond curriculum expectations. The SRMP highlighted the important role of patterning and spatial structuring in the formation and representation of spatial concepts.",,
,,4,ERIC,The Use and Effectiveness of a Targeted Math Intervention for Third Graders,"Pool, Juli L.","Carter, Gabriel M.","Johnson, Evelyn S.","Carter, Deborah R.",,,,,,,Intervention,Use Studies,Mathematics Instruction,Science Course Improvement Projects,Case Studies,Curriculum Design,Response to Intervention,Instructional Design,Participant Satisfaction,Grade 3,Mathematics Skills,Program Effectiveness,Instructional Effectiveness,,,,,,,,,,,,,,Intervention in School and Clinic,v48 n4 p210-217 Mar 2013,http://dx.doi.org/10.1177/1053451212462882,EJ1010749,48,4,210-217,41334,http://eric.ed.gov/?id=EJ1010749,"Students who fail to develop proficiency in math skills in the primary grades are more likely to experience difficulties in the math curriculum later on. These students may be in need of a more targeted intervention, or Tier 2 supports, in mathematic instruction. Although the instructional principles of an effective math intervention are becoming better understood, the practice of designing and implementing an effective Tier 2 math intervention system challenges many schools. This article documents a case study of one school's experience in designing a Tier 2 math intervention system for 10 third graders to provide a model of effective Tier 2 systems. (Contains 1 note and 2 figures.)",,
,,5,ERIC,A Randomized Controlled Trial of Interleaved Mathematics Practice,"Rohrer, Doug","Dedrick, Robert F.","Hartwig, Marissa K.","Cheung, Chi-Ngai",,,,,,,Randomized Controlled Trials,Mathematics Instruction,Grade 7,Assignments,Intervention,Mathematics Tests,Scores,Teacher Attitudes,Teaching Methods,Problem Solving,Instructional Effectiveness,Educational Practices,Pilot Projects,School Districts,Honors Curriculum,Advanced Courses,Worksheets,,,,,,,,,,Grantee Submission,,http://dx.doi.org/10.1037/edu0000367,ED595322,,,,2019,http://eric.ed.gov/?id=ED595322,"We report the results of a pre-registered, cluster randomized controlled trial of a mathematics learning intervention known as interleaved practice. Whereas most mathematics assignments consist of a block of problems devoted to the same skill or concept, an interleaved assignment is arranged so that no two consecutive problems require the same strategy. Previous small-scale studies found that practice assignments with a greater proportion of interleaved practice produced higher test scores. In the present study, we assessed the efficacy and feasibility of interleaved practice in a naturalistic setting with a large, diverse sample. Each of 54 seventh-grade mathematics classes periodically completed interleaved or blocked assignments over a period of four months, and then both groups completed an interleaved review assignment. One month later, students took an unannounced test, and the interleaved group outscored the blocked group, 61% vs. 38%, d = 0.83. Teachers were able to implement the intervention without training, and they later expressed support for interleaved practice in an anonymous survey they completed before they knew the results of the study. Although important caveats remain, the results suggest that interleaved mathematics practice is effective and feasible. [This is the online version of an article published in ""Journal of Educational Psychology.""]",R305A160263,
,,6,ERIC,Effects of a Mathematical Writing Intervention on Middle School Students' Performance,"Hughes, Elizabeth M.","Lee, Joo-Young",,,,,,,,,Mathematics Instruction,Content Area Writing,Intervention,Middle School Students,Academic Achievement,Common Core State Standards,Grade 6,Writing Instruction,Writing Strategies,Outcomes of Education,,,,,,,,,,,,,,,,,Reading and Writing Quarterly,v36 n2 p176-192 2020,http://dx.doi.org/10.1080/10573569.2019.1677537,EJ1249756,36,2,176-192,2020,http://eric.ed.gov/?id=EJ1249756,"The benefits of content writing are widely recognized, yet there are still few studies that evaluate the benefits and challenges of mathematical writing (MW) for students. The National Council of Teachers of Mathematics and the Common Core State Standards for Mathematics have an emphasis on written communication of mathematical reasoning as an integral part of curriculum, peer-reviewed publications on this topic are lacking. This study evaluates the effects of self-regulated strategy development (SRSD) intervention on sixth-grade students' MW. Findings indicate that the intervention had significant impact on MW outcomes. Additionally, the five predictors assessed prior to the intervention accounted for approximately 73.6% of variance in MW quality. Implications for the field and future research are discussed.",,
,,7,ERIC,Effect of a Computer-Delivered Math Fact Intervention as a Supplemental Intervention for Math in Third and Fourth Grades,"Burns, Matthew K.","Kanive, Rebecca","DeGrande, Megan",,,,,,,,Control Groups,Intervention,Computer Software,Computers,Mathematics Instruction,Computer Assisted Instruction,Grade 3,Grade 4,Elementary School Students,Scores,Pretests Posttests,Mathematics,Mathematics Education,Learning Disabilities,Elementary School Mathematics,,,,,,,,,,,,Remedial and Special Education,v33 n3 p184-191 May-Jun 2012,http://dx.doi.org/10.1177/0741932510381652,EJ964991,33,3,184-191,May-Jun 2012,http://eric.ed.gov/?id=EJ964991,"The current study reviews a computer-based math fluency intervention with 216 third- and fourth-grade students who were at risk for math difficulties. The intervention used a computer software program to practice math facts an average of three times per week for 8 to 15 weeks. Data were compared to those of 226 students in a control group. Results indicated that students who participated in the intervention had significantly larger gains on their math scores than those in the control group, and students with severe math problems (at or below the 15th percentile) grew at a rate that was equal to that of students with a pretest score that was between the 15th and 25th percentiles. Moreover, significantly fewer students remained at risk for math failure in the intervention group after participating in the intervention. These data suggest that the computer-based intervention was a useful supplemental math intervention. Suggestions for future research are provided. (Contains 2 tables.)",,
,,8,ERIC,An Examination of Interventionist Implementation Fidelity and Content Knowledge as Predictors of Math Intervention Effectiveness,"Nelson, Peter M.","Van Norman, Ethan R.","Parker, David C.","Cormier, Damien C.",,,,,,,Intervention,Program Implementation,Fidelity,Pedagogical Content Knowledge,Predictor Variables,Mathematics Instruction,Program Effectiveness,Response to Intervention,Outcomes of Education,Grade 4,Grade 5,Grade 6,Hierarchical Linear Modeling,Elementary School Students,Middle School Students,At Risk Students,Mathematics Achievement,Achievement Tests,,,,,,,,,Journal of Applied School Psychology,v35 n3 p234-256 2019,http://dx.doi.org/10.1080/15377903.2019.1568334,EJ1218437,35,3,234-256,2019,http://eric.ed.gov/?id=EJ1218437,"Data from a large-scale math intervention program were used to evaluate the degree to which implementation fidelity (IF) and interventionist content knowledge were associated with student outcomes. Data were available for 33 interventionists serving 658 students in Grades 4-6 across one school year. A series of multilevel models were fit to the data to evaluate the impact of procedural IF and interventionists' math content knowledge on students' postintervention achievement, controlling for preintervention achievement and intervention dosage. Higher student posttest scores were observed for interventionists with an average fidelity rating of 95% or greater (ß = 0.15); however, no effects on students' math achievement scores were observed for interventionist content knowledge. Adding IF and a measure of interventionist content knowledge to the model explained a statistically significant amount of variance in growth estimates attributable to interventionists (15%). Results highlight the potential importance of ongoing evaluation and remediation of IF in the context of standardized supplemental intervention in math, while also providing some evidence that higher levels of content knowledge may not translate into greater impact in a standard-protocol intervention setting. Results suggest a need for more research examining characteristics of interventionists and aspects of implementation that may account for variance in student outcomes.",,
,,9,ERIC,An Evaluation of Observational Methods for Measuring Response to Classwide Intervention,"Briesch, Amy M.","Hemphill, Elizabeth M.","Volpe, Robert J.","Daniels, Brian",,,,,,,Classroom Observation Techniques,Intervention,Comparative Analysis,Observation,Sampling,Grade 7,Learner Engagement,Student Behavior,Urban Schools,Middle School Students,Mathematics Instruction,Video Technology,Intervals,Group Activities,Graphs,Program Effectiveness,,,,,,,,,,,School Psychology Quarterly,v30 n1 p37-49 Mar 2015,http://dx.doi.org/10.1037/spq0000065,EJ1056679,30,1,37-49,42064,http://eric.ed.gov/?id=EJ1056679,"Although there is much research to support the effectiveness of classwide interventions aimed at improving student engagement, there is also a great deal of variability in terms of how response to group-level intervention has been measured. The unfortunate consequence of this procedural variability is that it is difficult to determine whether differences in obtained results across studies are attributable to the way in which behavior was measured or actual intervention effectiveness. The purpose of this study was to comparatively evaluate the most commonly used observational methods for monitoring the effects of classwide interventions in terms of the degree to which obtained data represented actual behavior. The 5 most common sampling methods were identified and evaluated against a criterion generated by averaging across observations conducted on 14 students in one seventh-grade classroom. Results suggested that the best approximation of mean student engagement was obtained by observing a different student during each consecutive 15-s interval whereas observing an entire group of students during each interval underestimated the mean level of behavior within a phase and the degree of behavior change across phases. In contrast, when observations were restricted to the 3 students with the lowest levels of engagement, data revealed greater variability in engagement across baseline sessions and suggested a more notable change in student behavior subsequent to intervention implementation.",,
,,10,ERIC,Intervention for First Graders with Limited Number Knowledge: Large-Scale Replication of a Randomized Controlled Trial,"Gersten, Russell","Rolfhus, Eric","Clarke, Ben","Decker, Lauren E.","Wilkins, Chuck","Dimino, Joseph",,,,,Grade 1,Elementary School Students,Experimental Groups,Control Groups,Comparative Analysis,Intervention,Small Group Instruction,At Risk Students,Urban Schools,Teaching Methods,Mathematics Instruction,Mathematics Achievement,Student Characteristics,Elementary School Mathematics,Computation,Mathematical Concepts,Word Problems (Mathematics),Hierarchical Linear Modeling,,,,,,,,,American Educational Research Journal,v52 n3 p516-546 Jun 2015,http://dx.doi.org/10.3102/0002831214565787,EJ1063565,52,3,516-546,42156,http://eric.ed.gov/?id=EJ1063565,"Replication studies are extremely rare in education. This randomized controlled trial (RCT) is a scale-up replication of Fuchs et al., which in a sample of 139 found a statistically significant positive impact for Number Rockets, a small-group intervention for at-risk first graders that focused on building understanding of number operations. The study was relatively small scale (one site) and highly controlled. This replication was implemented at a much larger scale--in 76 schools in four urban districts; 994 at-risk students participated. Intervention students participated in approximately 30 hours of small-group work in addition to classroom instruction; control students received typical instruction and whatever assistance the teacher would normally provide. Intervention students showed significantly superior performance on a broad measure of mathematics proficiency.",ED-06-CO-0017,
,,11,ERIC,Promoting Effects of RtI-Based Mathematical Play Training on Number Sense Growth among Low-SES Preschool Children,"Liang, Yuan","Zhang, Lijin","Long, Yang","Deng, Qian","Liu, Yujuan",,,,,,Response to Intervention,Mathematics Instruction,Play,Low Income Students,Preschool Children,Socioeconomic Status,Kindergarten,Intervention,Program Effectiveness,Teaching Methods,Foreign Countries,Numeracy,Educational Games,Computer Games,Parent Background,Educational Attainment,,,,,,,,,,,Early Education and Development,v31 n3 p335-353 2020,http://dx.doi.org/10.1080/10409289.2019.1664261,EJ1248391,31,3,335-353,2020,http://eric.ed.gov/?id=EJ1248391,"Research Findings: Low-socioeconomic status (SES) (intervention group, n = 31; control group, n = 32) and middle/high-SES (reference group, n = 33) 5-year-old Chinese kindergartners were screened through SES and IQ test. Their number sense was examined over five time points. The pretest was conducted at the beginning of the fall semester, followed by three immediate posttests monthly. Math play training was administrated to the intervention group and story reading to the other two groups during this time. Lastly, a delayed posttest was conducted two months later after the last immediate posttest. All the interventions were carried out in small groups, 15-30 minutes sessions, 2 days per week for 12 weeks. The promotion effect of math play training was monitored based on response to intervention (RtI) paradigm. Utilizing latent growth modeling, we found that the intervention group got significant improvement in number sense and almost caught up with the middle/high-SES group after training, and the intervention effects persisted for two months. The control group had the slowest rate of progress and significantly lower scores than the other two groups. Practice or Policy: RtI-based mathematical game intervention could improve the number sense level and growth rate of preschoolers in rural areas.",,
,,12,ERIC,Learning by Preparing to Teach: Fostering Self-Regulatory Processes and Achievement during Complex Mathematics Problem Solving,"Muis, Krista R.","Psaradellis, Cynthia","Chevrier, Marianne","Di Leo, Ivana","Lajoie, Susanne P.",,,,,,Problem Solving,Mathematics Instruction,Intervention,Teaching Methods,Experimental Groups,Control Groups,Student Participation,Mathematics Achievement,Comparative Analysis,Concept Mapping,Protocol Analysis,Metacognition,Cognitive Processes,Self Management,Foreign Countries,Word Problems (Mathematics),Coding,Elementary School Students,,,,,,,,,Journal of Educational Psychology,v108 n4 p474-492 May 2016,http://dx.doi.org/10.1037/edu0000071,EJ1099265,108,4,474-492,42491,http://eric.ed.gov/?id=EJ1099265,"We developed an intervention based on the learning by teaching paradigm to foster self-regulatory processes and better learning outcomes during complex mathematics problem solving in a technology-rich learning environment. Seventy-eight elementary students were randomly assigned to 1 of 2 conditions: learning by preparing to teach, or learning for learning (control condition). Students' conceptualizations (task definitions) of the problem, self-regulatory processes, and mathematics achievement were then compared across the 2 conditions. To measure task definitions of the mathematics problem, students developed concept maps of the problem using a tablet application. To capture self-regulatory processes, students were asked to think out loud as they solved the problem. Results revealed that students in the learning by preparing to teach intervention developed a more detailed and better-organized concept map of the problem compared with students in the control condition. Students in the learning by preparing to teach intervention also engaged in more metacognitive processing strategies and had higher levels of mathematics problem solving achievement compared with students in the control condition. No differences were found, however, in planning and goal setting or in use of cognitive strategies across the 2 conditions. Implications of this research suggest students' initial task definitions may be a key factor in differences found when learning by teaching compared with solely learning for learning.",,
,,13,ERIC,Using the Number Line to Promote Understanding of Fractions for Struggling Fifth Graders: A Formative Pilot Study,"Schumacher, Robin F.","Jayanthi, Madhavi","Gersten, Russell","Dimino, Joseph","Spallone, Samantha","Haymond, Kelly S.",,,,,Fractions,Mathematics Instruction,Intervention,Grade 5,Elementary School Mathematics,Knowledge Level,Mathematical Concepts,Concept Formation,Program Effectiveness,Number Concepts,Learning Problems,,,,,,,,,,,,,,,,Learning Disabilities Research & Practice,v33 n4 p192-206 Nov 2018,http://dx.doi.org/10.1111/ldrp.12169,EJ1196106,33,4,192-206,43405,http://eric.ed.gov/?id=EJ1196106,"A formative pilot study of a fractions intervention was conducted to address the intervention's potential for improving fifth-grade struggling students' knowledge of fractions, and to identify any logistical or instructional design issues, before scaling up for a randomized control trial. In the first section, we provide details of the formative pilot study and present preliminary data that demonstrate the potential of the intervention. Intervention lessons--adapted from a commercially available program--emphasize consistent use of the number line in conjunction with concrete representations to scaffold learning and facilitate understanding of grade-level and foundational fractions content. We explain how intervention revisions were guided by the formative evaluation. In the second section, we present key concepts that distinguish understanding fractions principles from understanding whole number principles. These concepts relate to understanding foundations of fractions (e.g., magnitude, equivalence, part-whole, and measurement) and the four operations. We present these key concepts and show how the fractions intervention addressed them as a guide to practitioners for teaching new and difficult fractions content, as students integrate fractions understanding with their understanding of whole numbers.",1535214,
